City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,vilyuchinsk,52.9306,158.4028,285.3,79,100,2.67,RU,1691611514
309,port alfred,-33.5906,26.891,289.36,87,48,2.24,ZA,1691611514
310,remire-montjoly,4.9167,-52.2667,304.17,66,0,5.14,GF,1691611514
311,paphos,34.7667,32.4167,300.03,78,40,2.06,CY,1691611514
312,naze,28.3667,129.4833,298.66,88,76,5.68,JP,1691611514
313,malango,-2.9627,119.9001,291.37,98,35,0.79,ID,1691611514
314,saudarkrokur,65.7461,-19.6394,280.26,82,59,5.68,IS,1691611512
315,takoradi,4.8845,-1.7554,297.3,86,76,4.99,GH,1691611515
316,weno,7.4515,151.8468,301.63,78,89,3.5,FM,1691611515
317,karratha,-20.7377,116.8463,293.51,55,0,3.02,AU,1691611515
318,callao,-12.0667,-77.15,295.31,68,100,4.63,PE,1691611241
319,manokwari,-0.8667,134.0833,298.32,74,100,1.79,ID,1691611515
320,ocean shores,46.9737,-124.1563,294.24,83,100,3.6,US,1691611288
321,whitehorse,60.7161,-135.0538,292.65,46,40,3.6,CA,1691611515
322,al quwayrah,29.8004,35.3116,302.15,43,0,2.15,JO,1691611516
323,kununurra,-15.7667,128.7333,289.14,77,17,0.0,AU,1691611516
324,flying fish cove,-10.4217,105.6791,296.97,88,75,5.66,CX,1691611516
325,sayan,-11.1361,-77.1933,299.13,41,24,3.87,PE,1691611516
326,nichinan,31.6,131.3667,299.97,94,100,8.21,JP,1691611516
327,kuala belait,4.5833,114.1833,298.24,86,29,1.92,BN,1691611516
328,the dalles,45.5946,-121.1787,304.69,37,7,8.05,US,1691611239
329,darwin,-12.4611,130.8418,296.14,78,75,2.06,AU,1691611278
330,kapa'a,22.0752,-159.319,305.14,73,75,9.77,US,1691611517
331,fairfield,41.2668,-73.3162,302.98,46,0,6.17,US,1691611380
332,walvis bay,-22.9575,14.5053,286.68,94,14,3.09,NA,1691611498
333,riberalta,-10.9833,-66.1,308.26,43,20,3.09,BO,1691611517
334,fomboni,-12.28,43.7425,297.9,75,11,6.59,KM,1691611517
335,menaka,15.9182,2.4022,305.99,47,81,3.62,ML,1691611518
336,tarakan,3.3,117.6333,299.54,83,99,3.51,ID,1691611518
337,akrehamn,59.2667,5.1833,284.82,87,75,6.17,NO,1691611518
338,atamyrat,37.8357,65.2106,301.8,26,0,4.72,TM,1691611518
339,mokhsogollokh,61.4681,128.9203,284.64,68,100,1.99,RU,1691611519
340,dangriga,16.9692,-88.2321,303.02,69,3,4.23,BZ,1691611519
341,puerto yuca,2.9383,-73.2083,303.82,61,87,1.22,CO,1691611519
342,ha'il,27.5219,41.6907,307.16,15,0,4.12,SA,1691611519
343,yung shue wan,22.2333,114.1167,303.47,85,71,6.02,HK,1691611519
344,margate,51.3813,1.3862,290.86,75,0,2.24,GB,1691611519
345,alamosa,37.4695,-105.87,300.14,18,0,2.57,US,1691611519
346,skovorodino,53.9833,123.9167,287.39,80,65,1.02,RU,1691611520
347,kachug,53.9606,105.8817,290.49,99,100,1.76,RU,1691611520
348,ha tinh,18.3333,105.9,301.21,68,99,2.66,VN,1691611520
349,vendas novas,38.6771,-8.4579,297.99,60,0,3.69,PT,1691611520
350,calvinia,-31.4707,19.776,288.94,27,0,2.4,ZA,1691611520
351,ingeniero jacobacci,-41.3427,-69.5448,284.67,55,100,7.83,AR,1691611520
352,farshut,26.0549,32.1633,305.66,19,0,3.6,EG,1691611521
353,kudahuvadhoo,2.6708,72.8944,300.71,78,85,5.38,MV,1691611521
354,laguna,38.421,-121.4238,305.42,45,0,4.12,US,1691611522
355,machico,32.7,-16.7667,298.77,78,20,1.54,PT,1691611522
356,bure,10.7,37.0667,285.94,98,100,1.05,ET,1691611523
357,kribi,2.95,9.9167,297.32,88,51,2.79,CM,1691611523
358,brookings,44.3114,-96.7984,301.03,60,75,3.6,US,1691611523
359,diapaga,12.0708,1.7889,297.8,87,80,1.8,BF,1691611524
360,mordovo,52.0834,40.77,292.68,61,22,3.11,RU,1691611524
361,vozhega,60.4725,40.2213,289.08,88,3,2.34,RU,1691611526
